aci:113	sin degeri:0.920895	 cos degeri:-0.389811
aci:114	sin degeri:0.913955	 cos degeri:-0.405815
aci:115	sin degeri:0.906737	 cos degeri:-0.421696
aci:116	sin degeri:0.899244	 cos degeri:-0.437448
aci:117	sin degeri:0.891476	 cos degeri:-0.453068
aci:118	sin degeri:0.883437	 cos degeri:-0.468549
aci:119	sin degeri:0.875130	 cos degeri:-0.483888
aci:120	sin degeri:0.866556	 cos degeri:-0.499080
aci:121	sin degeri:0.857718	 cos degeri:-0.514120
aci:122	sin degeri:0.848620	 cos degeri:-0.529004
aci:123	sin degeri:0.839263	 cos degeri:-0.543726
aci:124	sin degeri:0.829651	 cos degeri:-0.558283
aci:125	sin degeri:0.819786	 cos degeri:-0.572670
aci:126	sin degeri:0.809672	 cos degeri:-0.586883
aci:127	sin degeri:0.799311	 cos degeri:-0.600917
aci:128	sin degeri:0.788707	 cos degeri:-0.614769
aci:129	sin degeri:0.777864	 cos degeri:-0.628433
aci:130	sin degeri:0.766783	 cos degeri:-0.641906
aci:131	sin degeri:0.755470	 cos degeri:-0.655184
aci:132	sin degeri:0.743926	 cos degeri:-0.668262
aci:133	sin degeri:0.732156	 cos degeri:-0.681137
aci:134	sin degeri:0.720163	 cos degeri:-0.693805
aci:135	sin degeri:0.707951	 cos degeri:-0.706262
aci:136	sin degeri:0.695524	 cos degeri:-0.718503
aci:137	sin degeri:0.682884	 cos degeri:-0.730526
aci:138	sin degeri:0.670038	 cos degeri:-0.742327
aci:139	sin degeri:0.656987	 cos degeri:-0.753902
aci:140	sin degeri:0.643736	 cos degeri:-0.765248
aci:141	sin degeri:0.630289	 cos degeri:-0.776360
aci:142	sin degeri:0.616651	 cos degeri:-0.787237
aci:143	sin degeri:0.602825	 cos degeri:-0.797873
aci:144	sin degeri:0.588816	 cos degeri:-0.808267
aci:145	sin degeri:0.574627	 cos degeri:-0.818415
aci:146	sin degeri:0.560263	 cos degeri:-0.828314
aci:147	sin degeri:0.545729	 cos degeri:-0.837961
aci:148	sin degeri:0.531029	 cos degeri:-0.847353
aci:149	sin degeri:0.516168	 cos degeri:-0.856488
aci:150	sin degeri:0.501149	 cos degeri:-0.865361
aci:151	sin degeri:0.485978	 cos degeri:-0.873971
aci:152	sin degeri:0.470659	 cos degeri:-0.882315
aci:153	sin degeri:0.455196	 cos degeri:-0.890391
aci:154	sin degeri:0.439595	 cos degeri:-0.898196
aci:155	sin degeri:0.423861	 cos degeri:-0.905727
aci:156	sin degeri:0.407997	 cos degeri:-0.912983
aci:157	sin degeri:0.392009	 cos degeri:-0.919961
aci:158	sin degeri:0.375902	 cos degeri:-0.926659
aci:159	sin degeri:0.359681	 cos degeri:-0.933075
aci:160	sin degeri:0.343350	 cos degeri:-0.939207
aci:161	sin degeri:0.326915	 cos degeri:-0.945054
aci:162	sin degeri:0.310380	 cos degeri:-0.950613
aci:163	sin degeri:0.293751	 cos degeri:-0.955882
aci:164	sin degeri:0.277032	 cos degeri:-0.960861
aci:165	sin degeri:0.260229	 cos degeri:-0.965547
aci:166	sin degeri:0.243347	 cos degeri:-0.969939
aci:167	sin degeri:0.226391	 cos degeri:-0.974037
aci:168	sin degeri:0.209365	 cos degeri:-0.977837
aci:169	sin degeri:0.192277	 cos degeri:-0.981341
aci:170	sin degeri:0.175129	 cos degeri:-0.984545
aci:171	sin degeri:0.157929	 cos degeri:-0.987451
aci:172	sin degeri:0.140680	 cos degeri:-0.990055
aci:173	sin degeri:0.123389	 cos degeri:-0.992358
aci:174	sin degeri:0.106059	 cos degeri:-0.994360
aci:175	sin degeri:0.088698	 cos degeri:-0.996059
aci:176	sin degeri:0.071310	 cos degeri:-0.997454
aci:177	sin degeri:0.053900	 cos degeri:-0.998546
aci:178	sin degeri:0.036473	 cos degeri:-0.999335
aci:179	sin degeri:0.019036	 cos degeri:-0.999819
aci:180	sin degeri:0.001593	 cos degeri:-0.999999
aci:181	sin degeri:-0.015851	 cos degeri:-0.999874
aci:182	sin degeri:-0.033290	 cos degeri:-0.999446
aci:183	sin degeri:-0.050719	 cos degeri:-0.998713
aci:184	sin degeri:-0.068132	 cos degeri:-0.997676
aci:185	sin degeri:-0.085525	 cos degeri:-0.996336
aci:186	sin degeri:-0.102892	 cos degeri:-0.994693
aci:187	sin degeri:-0.120227	 cos degeri:-0.992746
aci:188	sin degeri:-0.137526	 cos degeri:-0.990498
aci:189	sin degeri:-0.154783	 cos degeri:-0.987949
aci:190	sin degeri:-0.171992	 cos degeri:-0.985098
aci:191	sin degeri:-0.189150	 cos degeri:-0.981948
aci:192	sin degeri:-0.206250	 cos degeri:-0.978499
aci:193	sin degeri:-0.223287	 cos degeri:-0.974753
aci:194	sin degeri:-0.240256	 cos degeri:-0.970710
aci:195	sin degeri:-0.257152	 cos degeri:-0.966371
aci:196	sin degeri:-0.273970	 cos degeri:-0.961738
aci:197	sin degeri:-0.290704	 cos degeri:-0.956813
aci:198	sin degeri:-0.307350	 cos degeri:-0.951596
aci:199	sin degeri:-0.323903	 cos degeri:-0.946090
aci:200	sin degeri:-0.340357	 cos degeri:-0.940296
aci:201	sin degeri:-0.356707	 cos degeri:-0.934216
aci:202	sin degeri:-0.372949	 cos degeri:-0.927852
aci:203	sin degeri:-0.389077	 cos degeri:-0.921205
aci:204	sin degeri:-0.405087	 cos degeri:-0.914278
aci:205	sin degeri:-0.420974	 cos degeri:-0.907073
aci:206	sin degeri:-0.436732	 cos degeri:-0.899592
